title,organization,skills,rating,review_counts,difficulty,description,url,source,skills_list,course_text,category
write a feature length screenplay for film or television,Michigan State University,Drama  Comedy  peering  screenwriting  film  Document Review  dialogue  creative writing  Writing  unix shells arts-and-humanities music-and-art,4.8,0.0,Beginner,"write a full length feature film script in this course, you will write a complete, feature-length screenplay for film or television, be it a serious drama or romantic comedy or anything in between. you ll learn to break down the creative process into components, and you ll discover a structured process that allows you to produce a polished and pitch-ready script by the end of the course. completing this project will increase your confidence in your ideas and abilities, and you ll feel prepared to pitch your first script and get started on your next. this is a course designed to tap into your creativity and is based in active learning . most of the actual learning takes place within your own activities - that is, writing you will learn by doing. here is a link to a trailer for the course. to view the trailer, please copy and paste the link into your browser. https://vimeo.com/382067900/b78b800dc0 learner review: love the approach professor wheeler takes towards this course. it's to the point, easy to follow, and very informative would definitely recommend it to anyone who is interested in taking a screenplay writing course the course curriculum is simple: we will adopt a professional writers room process in which you ll write, post your work for peer review, share feedback with your peers and revise your work with the feedback you receive from your peers. that's how we do it in the real world. you will feel as if you were in a professional writers room yet no prior experience as a writer is required. i'm a proponent of experiential learning (active learning). my lectures are short (sometimes just two minutes long) and to the point, designed in a step-by-step process essential to your success as a script writer. i will guide you but i won t show you how to write. i firmly believe that the only way to become a writer is to write, write, write. learner review: i would like to thank this course instructor. it's an amazing course what you ll need to get started: as mentioned above, no prior script writing experience is required. to begin with, any basic word processor will do. during week two, you can choose to download some free scriptwriting software such as celtx or trelby or you may choose to purchase final draft, the industry standard, or you can continue to use your word processor and do your own script formatting. learner review: now i am a writer if you have any concerns regarding the protection of your original work, coursera's privacy policy protects the learner's ip and you are indeed the sole owners of your work.",https://www.coursera.org/learn/write-a-feature-length-screenplay-for-film-or-television,coursera_v1,['drama  comedy  peering  screenwriting  film  document review  dialogue  creative writing  writing  unix shells arts-and-humanities music-and-art'],"write a feature length screenplay for film or television michigan state university drama comedy peering screenwriting film document review dialogue creative writing writing unix shells arts-and-humanities music-and-art beginner write a full length feature film script in this course, you will write a complete, feature-length screenplay for film or television, be it a serious drama or romantic comedy or anything in between. you ll learn to break down the creative process into components, and you ll discover a structured process that allows you to produce a polished and pitch-ready script by the end of the course. completing this project will increase your confidence in your ideas and abilities, and you ll feel prepared to pitch your first script and get started on your next. this is a course designed to tap into your creativity and is based in active learning . most of the actual learning takes place within your own activities - that is, writing you will learn by doing. here is a link to a trailer for the course. to view the trailer, please copy and paste the link into your browser. https://vimeo.com/382067900/b78b800dc0 learner review: love the approach professor wheeler takes towards this course. it's to the point, easy to follow, and very informative would definitely recommend it to anyone who is interested in taking a screenplay writing course the course curriculum is simple: we will adopt a professional writers room process in which you ll write, post your work for peer review, share feedback with your peers and revise your work with the feedback you receive from your peers. that's how we do it in the real world. you will feel as if you were in a professional writers room yet no prior experience as a writer is required. i'm a proponent of experiential learning (active learning). my lectures are short (sometimes just two minutes long) and to the point, designed in a step-by-step process essential to your success as a script writer. i will guide you but i won t show you how to write. i firmly believe that the only way to become a writer is to write, write, write. learner review: i would like to thank this course instructor. it's an amazing course what you ll need to get started: as mentioned above, no prior script writing experience is required. to begin with, any basic word processor will do. during week two, you can choose to download some free scriptwriting software such as celtx or trelby or you may choose to purchase final draft, the industry standard, or you can continue to use your word processor and do your own script formatting. learner review: now i am a writer if you have any concerns regarding the protection of your original work, coursera's privacy policy protects the learner's ip and you are indeed the sole owners of your work.",ARTS
business strategy: business model canvas analysis with miro,Coursera Project Network,Finance  business plan  persona (user experience)  business model canvas  Planning  Business  project  Product Development  presentation  Strategy business business-strategy,4.8,0.0,Beginner,"by the end of this guided project, you will be fluent in identifying and creating business model canvas solutions based on previous high-level analyses and research data. this will enable you to identify and map the elements required for new products and services. furthermore, it is essential for generating positive results for your business venture. this guided project is designed to engage and harness your visionary and exploratory abilities. you will use proven models in strategy and product development with the miro platform to explore and analyse your business propositions. we will practice critically examining results from previous analysis and research results in deriving the values for each of the business model sections.",https://www.coursera.org/learn/canvas-analysis-miro,coursera_v1,['finance  business plan  persona (user experience)  business model canvas  planning  business  project  product development  presentation  strategy business business-strategy'],"business strategy: business model canvas analysis with miro coursera project network finance business plan persona (user experience) business model canvas planning business project product development presentation strategy business business-strategy beginner by the end of this guided project, you will be fluent in identifying and creating business model canvas solutions based on previous high-level analyses and research data. this will enable you to identify and map the elements required for new products and services. furthermore, it is essential for generating positive results for your business venture. this guided project is designed to engage and harness your visionary and exploratory abilities. you will use proven models in strategy and product development with the miro platform to explore and analyse your business propositions. we will practice critically examining results from previous analysis and research results in deriving the values for each of the business model sections.",BUSINESS-DEVELOPMENT
silicon thin film solar cells,�cole Polytechnique,chemistry  physics  Solar Energy  film  lambda calculus  Electrical Engineering  electronics  energy  silicon  thinning physical-science-and-engineering electrical-engineering,4.1,0.0,Advanced,"this course consists of a general presentation of solar cells based on silicon thin films. it is the third mooc of the photovoltaic series of ecole polytechnique on coursera. the general aspects of the photovoltaic field are treated in photovoltaic solar energy . and the detailed description of the crystalline silicon solar cells can be found in physics of silicon solar cells . after a brief presentation of solar cells operation, thin film semiconductors are described here. the general properties of disordered and crystalline semiconductors are found very different, in particular in terms of band structure and doping mechanisms. silicon thin films, generally less than 1 m thick, are deposited from silane plasma leading to hydrogen incorporation. the growth mechanisms are discussed, in particular the capability to prepare partially crystallized thin films which appear as a mixture of nanocrystallites embedded in an amorphous tissue. the consequences of the semiconductor properties on solar cells behavior are reviewed. the optical properties of amorphous and nanocrystalline silicon are complementary. thus the plasma process is particularly well adapted to the preparation of multijunctions, with conversion efficiencies around 13-15 . furthermore plasma processes allow to prepare solar cells in large area on glass or flexible substrates. finally, it is shown that crystalline and amorphous silicon materials can be combine into heterojunctions solar cells with high efficiency conversion (about 25 ). this course is part of a series of 3 photovoltaic solar energy (https://www.coursera.org/learn/photovoltaic-solar-energy/) physics of silicon solar cells (https://www.coursera.org/learn/physics-silicon-solar-cells/) silicon thin film solar cells",https://www.coursera.org/learn/silicon-thin-film-solar-cells,coursera_v1,['chemistry  physics  solar energy  film  lambda calculus  electrical engineering  electronics  energy  silicon  thinning physical-science-and-engineering electrical-engineering'],"silicon thin film solar cells cole polytechnique chemistry physics solar energy film lambda calculus electrical engineering electronics energy silicon thinning physical-science-and-engineering electrical-engineering advanced this course consists of a general presentation of solar cells based on silicon thin films. it is the third mooc of the photovoltaic series of ecole polytechnique on coursera. the general aspects of the photovoltaic field are treated in photovoltaic solar energy . and the detailed description of the crystalline silicon solar cells can be found in physics of silicon solar cells . after a brief presentation of solar cells operation, thin film semiconductors are described here. the general properties of disordered and crystalline semiconductors are found very different, in particular in terms of band structure and doping mechanisms. silicon thin films, generally less than 1 m thick, are deposited from silane plasma leading to hydrogen incorporation. the growth mechanisms are discussed, in particular the capability to prepare partially crystallized thin films which appear as a mixture of nanocrystallites embedded in an amorphous tissue. the consequences of the semiconductor properties on solar cells behavior are reviewed. the optical properties of amorphous and nanocrystalline silicon are complementary. thus the plasma process is particularly well adapted to the preparation of multijunctions, with conversion efficiencies around 13-15 . furthermore plasma processes allow to prepare solar cells in large area on glass or flexible substrates. finally, it is shown that crystalline and amorphous silicon materials can be combine into heterojunctions solar cells with high efficiency conversion (about 25 ). this course is part of a series of 3 photovoltaic solar energy (https://www.coursera.org/learn/photovoltaic-solar-energy/) physics of silicon solar cells (https://www.coursera.org/learn/physics-silicon-solar-cells/) silicon thin film solar cells",ARTS
finance for managers,IESE Business School,accounts receivable  dupont analysis  analysis  Accounting  Finance  Operations Management  Leadership and Management  balance sheet  inventory  Financial Analysis business finance,4.8,0.0,Intermediate,"when it comes to numbers, there is always more than meets the eye. in operational finance, you will learn how to read the story that the balance sheet and income statement tells about the company s operations. the insights you gain from this financial story will then become a tool for short-term decision-making at the top management level relating to current assets, current liabilities and the management of working capital. finally, by the end of the course you will understand the financial consequences of managerial decisions on operations, marketing, etc.",https://www.coursera.org/learn/operational-finance,coursera_v1,['accounts receivable  dupont analysis  analysis  accounting  finance  operations management  leadership and management  balance sheet  inventory  financial analysis business finance'],"finance for managers iese business school accounts receivable dupont analysis analysis accounting finance operations management leadership and management balance sheet inventory financial analysis business finance intermediate when it comes to numbers, there is always more than meets the eye. in operational finance, you will learn how to read the story that the balance sheet and income statement tells about the company s operations. the insights you gain from this financial story will then become a tool for short-term decision-making at the top management level relating to current assets, current liabilities and the management of working capital. finally, by the end of the course you will understand the financial consequences of managerial decisions on operations, marketing, etc.",ACCOUNTANT
retrieve data using single-table sql queries,Coursera Project Network,Data Analysis  select (sql)  database management systems  online shopping  table (database)  data retrieval  Databases  web page  numbers (spreadsheet)  SQL information-technology data-management,4.6,0.0,Beginner,"in this course you ll learn how to effectively retrieve data from a relational database table using the sql language. we all know that most computer systems rely on at least one database to store data. your tax information is stored in the database used by the internal revenue service. your phone stores your contacts names, addresses, email addresses, and phone numbers in a database. if you shop online, you re viewing photos, descriptions, and prices of products that are stored in a database. database designers go to great lengths to design databases so that the data can be stored securely and in an organized format. it s important to note that the main reason they go to all that work is so that we can get the data back out again when we need it that s called data retrieval . data is retrieved or read from a relational database by using a language called sql to query (or question) the database. sql is referred to as the language of relational databases . it can be used by itself or embedded in programs to retrieve data. once the data is retrieved, it can be displayed on a web page or pc application, or even printed on paper. you ll be practicing writing sql queries using sqlitestudio. next time you go online and look up the daily special at your favorite restaurant, you can think about the fact that it s likely that an sql query was used behind the scenes to fetch that data and pop it up on your screen. by the end of this course, you ll even have a pretty good idea what the query might have looked like note: this course works best for learners who are based in the north america region. we re currently working on providing the same experience in other regions.",https://www.coursera.org/learn/single-table-sql-queries,coursera_v1,['data analysis  select (sql)  database management systems  online shopping  table (database)  data retrieval  databases  web page  numbers (spreadsheet)  sql information-technology data-management'],"retrieve data using single-table sql queries coursera project network data analysis select (sql) database management systems online shopping table (database) data retrieval databases web page numbers (spreadsheet) sql information-technology data-management beginner in this course you ll learn how to effectively retrieve data from a relational database table using the sql language. we all know that most computer systems rely on at least one database to store data. your tax information is stored in the database used by the internal revenue service. your phone stores your contacts names, addresses, email addresses, and phone numbers in a database. if you shop online, you re viewing photos, descriptions, and prices of products that are stored in a database. database designers go to great lengths to design databases so that the data can be stored securely and in an organized format. it s important to note that the main reason they go to all that work is so that we can get the data back out again when we need it that s called data retrieval . data is retrieved or read from a relational database by using a language called sql to query (or question) the database. sql is referred to as the language of relational databases . it can be used by itself or embedded in programs to retrieve data. once the data is retrieved, it can be displayed on a web page or pc application, or even printed on paper. you ll be practicing writing sql queries using sqlitestudio. next time you go online and look up the daily special at your favorite restaurant, you can think about the fact that it s likely that an sql query was used behind the scenes to fetch that data and pop it up on your screen. by the end of this course, you ll even have a pretty good idea what the query might have looked like note: this course works best for learners who are based in the north america region. we re currently working on providing the same experience in other regions.",ACCOUNTANT
building test automation framework using selenium and testng,Coursera Project Network,maintenance  test case  test automation  screenshot  project  helper class  selenium  reusability  debugging  php computer-science software-development,4.7,0.0,Beginner,"selenium is one of the most widely used functional ui automation testing tools and testng is a brilliant testing framework. test automation frameworks are a set of guidelines or rules for writing test cases. they can reduce maintenance costs and testing efforts and will provide a higher return on investment (roi) for teams looking to optimize their processes. testing guidelines include coding standards, test-data management, defining object repositories, reporting guidelines, and logging strategies. through hands-on, practical experience, you will go through concepts writing reusable and structure code which is easy to maintain and understand, creating helper classes or utilities, write effective testcases, and generating reports and logs.",https://www.coursera.org/learn/building-test-automation-framework-using-selenium-and-testng,coursera_v1,['maintenance  test case  test automation  screenshot  project  helper class  selenium  reusability  debugging  php computer-science software-development'],"building test automation framework using selenium and testng coursera project network maintenance test case test automation screenshot project helper class selenium reusability debugging php computer-science software-development beginner selenium is one of the most widely used functional ui automation testing tools and testng is a brilliant testing framework. test automation frameworks are a set of guidelines or rules for writing test cases. they can reduce maintenance costs and testing efforts and will provide a higher return on investment (roi) for teams looking to optimize their processes. testing guidelines include coding standards, test-data management, defining object repositories, reporting guidelines, and logging strategies. through hands-on, practical experience, you will go through concepts writing reusable and structure code which is easy to maintain and understand, creating helper classes or utilities, write effective testcases, and generating reports and logs.",ENGINEERING
doing business in china capstone,The Chinese University of Hong Kong,marketing plan  Planning  Marketing  consumption (economics)  wait (system call)  business plan  strategic planning  audience  project  Writing business business-strategy,3.3,0.0,Advanced,"doing business in china capstone enables you to apply your skills to real business challenges. you ll use your newly earned business skills to identify, explore and evaluate a real opportunity involving products. in this capstone, you are the business consultant working for a well-established hon / wellness company. the ceo has given you a task. you have to bring a new overseas product into china.",https://www.coursera.org/learn/doing-business-in-china-capstone,coursera_v1,['marketing plan  planning  marketing  consumption (economics)  wait (system call)  business plan  strategic planning  audience  project  writing business business-strategy'],"doing business in china capstone the chinese university of hong kong marketing plan planning marketing consumption (economics) wait (system call) business plan strategic planning audience project writing business business-strategy advanced doing business in china capstone enables you to apply your skills to real business challenges. you ll use your newly earned business skills to identify, explore and evaluate a real opportunity involving products. in this capstone, you are the business consultant working for a well-established hon / wellness company. the ceo has given you a task. you have to bring a new overseas product into china.",BUSINESS-DEVELOPMENT
"programming languages, part a",University of Washington,inference  ml (programming language)  higher-order function  functional programming  type inference  pattern matching  euler's totient function  language  ?-recursive function  Computer Programming computer-science software-development,4.9,0.0,Intermediate,"this course is an introduction to the basic concepts of programming languages, with a strong emphasis on functional programming. the course uses the languages ml, racket, and ruby as vehicles for teaching the concepts, but the real intent is to teach enough about how any language fits together to make you more effective programming in any language -- and in learning new ones. this course is neither particularly theoretical nor just about programming specifics -- it will give you a framework for understanding how to use language constructs effectively and how to design correct and elegant programs. by using different languages, you will learn to think more deeply than in terms of the particular syntax of one language. the emphasis on functional programming is essential for learning how to write robust, reusable, composable, and elegant programs. indeed, many of the most important ideas in modern languages have their roots in functional programming. get ready to learn a fresh and beautiful way to look at software and how to have fun building it. the course assumes some prior experience with programming, as described in more detail in the first module. the course is divided into three coursera courses: part a, part b, and part c. as explained in more detail in the first module of part a, the overall course is a substantial amount of challenging material, so the three-part format provides two intermediate milestones and opportunities for a pause before continuing. the three parts are designed to be completed in order and set up to motivate you to continue through to the end of part c. the three parts are not quite equal in length: part a is almost as substantial as part b and part c combined. week 1 of part a has a more detailed list of topics for all three parts of the course, but it is expected that most course participants will not (yet ) know what all these topics mean.",https://www.coursera.org/learn/programming-languages,coursera_v1,"[""inference  ml (programming language)  higher-order function  functional programming  type inference  pattern matching  euler's totient function  language  ?-recursive function  computer programming computer-science software-development""]","programming languages, part a university of washington inference ml (programming language) higher-order function functional programming type inference pattern matching euler's totient function language -recursive function computer programming computer-science software-development intermediate this course is an introduction to the basic concepts of programming languages, with a strong emphasis on functional programming. the course uses the languages ml, racket, and ruby as vehicles for teaching the concepts, but the real intent is to teach enough about how any language fits together to make you more effective programming in any language -- and in learning new ones. this course is neither particularly theoretical nor just about programming specifics -- it will give you a framework for understanding how to use language constructs effectively and how to design correct and elegant programs. by using different languages, you will learn to think more deeply than in terms of the particular syntax of one language. the emphasis on functional programming is essential for learning how to write robust, reusable, composable, and elegant programs. indeed, many of the most important ideas in modern languages have their roots in functional programming. get ready to learn a fresh and beautiful way to look at software and how to have fun building it. the course assumes some prior experience with programming, as described in more detail in the first module. the course is divided into three coursera courses: part a, part b, and part c. as explained in more detail in the first module of part a, the overall course is a substantial amount of challenging material, so the three-part format provides two intermediate milestones and opportunities for a pause before continuing. the three parts are designed to be completed in order and set up to motivate you to continue through to the end of part c. the three parts are not quite equal in length: part a is almost as substantial as part b and part c combined. week 1 of part a has a more detailed list of topics for all three parts of the course, but it is expected that most course participants will not (yet ) know what all these topics mean.",ARTS
the roles and responsibilities of nonprofit boards of directors within the governance process,The State University of New York,Planning  Peer Review  fundraising  strategic planning  resource  concept testing  leadership  measurement  performance  evaluation business leadership-and-management,4.3,0.0,Intermediate,"this course provides a more in-depth look at the roles and responsibilities of boards of directors in the governance of nonprofit organizations. while the course has been developed with north american culture in mind, we do appreciate that in other parts of the world, the nature of the roles and responsibilities of boards of directors may not be the same. nevertheless,it is our hope that much of the course content will still be of value to those in other parts of the world. to learn more about this course, please watch the overview video by copying and pasting the following link into your web browser: https://goo.gl/sxzezs. keywords: nonprofit; nonprofit sector; voluntary sector; nonprofit organizations, non-governmental organizations, volunteer organizations, leadership, management, governance, board, board of directors, performance, effectiveness course 2 overview: week 1: some of the questions to be explored this week are: what is the board's role in planning for the organization's future and why is it important for nonprofit organizations to do it what is strategic planning and what can boards do to carry this out effectively week 2: this week's questions: what is the board's role in assessing the performance of the organization why is performance assessment important why do many boards have difficulty meeting their performance assessment responsibilities week 3: this week's questions: what are the elements of the fundraising/resource development process what is the board's role in ensuring the organization has adequate funding what information should be in a resource development plan week 4: at this stage, you are asked to review the course content, submit a written assignment (known lightheartedly as a bear (board effectiveness readiness assessment), and take two multiple choice readiness assurance tests (known similarly as rats). one rat will assess knowledge and reading comprehension and the other will test application of knowledge within a practical case. week 5: we will encourage you to discuss the rats in the discussion forums and take them again should you wish to change any of your answers based on the information exchanged.",https://www.coursera.org/learn/nonprofit-gov-2,coursera_v1,['planning  peer review  fundraising  strategic planning  resource  concept testing  leadership  measurement  performance  evaluation business leadership-and-management'],"the roles and responsibilities of nonprofit boards of directors within the governance process the state university of new york planning peer review fundraising strategic planning resource concept testing leadership measurement performance evaluation business leadership-and-management intermediate this course provides a more in-depth look at the roles and responsibilities of boards of directors in the governance of nonprofit organizations. while the course has been developed with north american culture in mind, we do appreciate that in other parts of the world, the nature of the roles and responsibilities of boards of directors may not be the same. nevertheless,it is our hope that much of the course content will still be of value to those in other parts of the world. to learn more about this course, please watch the overview video by copying and pasting the following link into your web browser: https://goo.gl/sxzezs. keywords: nonprofit; nonprofit sector; voluntary sector; nonprofit organizations, non-governmental organizations, volunteer organizations, leadership, management, governance, board, board of directors, performance, effectiveness course 2 overview: week 1: some of the questions to be explored this week are: what is the board's role in planning for the organization's future and why is it important for nonprofit organizations to do it what is strategic planning and what can boards do to carry this out effectively week 2: this week's questions: what is the board's role in assessing the performance of the organization why is performance assessment important why do many boards have difficulty meeting their performance assessment responsibilities week 3: this week's questions: what are the elements of the fundraising/resource development process what is the board's role in ensuring the organization has adequate funding what information should be in a resource development plan week 4: at this stage, you are asked to review the course content, submit a written assignment (known lightheartedly as a bear (board effectiveness readiness assessment), and take two multiple choice readiness assurance tests (known similarly as rats). one rat will assess knowledge and reading comprehension and the other will test application of knowledge within a practical case. week 5: we will encourage you to discuss the rats in the discussion forums and take them again should you wish to change any of your answers based on the information exchanged.",BUSINESS-DEVELOPMENT
business russian communication. part 3,Saint Petersburg State University,Russian  market (economics)  tax exemption  cooperation  Communication  Taxes  adjective  h.e.a.r.  listening  c dynamic memory allocation language-learning other-languages,4.6,0.0,Intermediate,"russian is considered to be one of the most difficult languages in the world, and many learners struggle to master its grammar and pronunciation. this course is aimed at those who wants to work in russia, do business with russian partners or study on business-related majors in russian. in three units of this intensive course learners are going to find out how to discuss terms of cooperationand prices, describe market situation and make a successful presentation of their companies, goods or services. the course is the third part of business russian communication series of courses offered by st petersburg state university. this part introduces such grammar topics as numerals and nouns in the genitive case, genitive case with prepositions, verbs of motion with unpaired prefixes and declension of adjectives. learners can practice their skills and test themselves in grammar quiz section. the course provides extensive vocabulary with more than 100 new words and conversational phrases which learners can use in their everyday communication on professional or informal topics. each unit of the course contains dialogues, which are extremely useful for those who wants to listen to original russian speech and get used to the pace and intonations of russian language. scripts and exercises are provided for all dialogues of the course. in the end of the course learners will have a chance to use the material leant and assess their progress while preparing the final assignment. this course is aimed at those who already achieved a2-a2 level in russian.",https://www.coursera.org/learn/business-russian-communication-3,coursera_v1,['russian  market (economics)  tax exemption  cooperation  communication  taxes  adjective  h.e.a.r.  listening  c dynamic memory allocation language-learning other-languages'],"business russian communication. part 3 saint petersburg state university russian market (economics) tax exemption cooperation communication taxes adjective h.e.a.r. listening c dynamic memory allocation language-learning other-languages intermediate russian is considered to be one of the most difficult languages in the world, and many learners struggle to master its grammar and pronunciation. this course is aimed at those who wants to work in russia, do business with russian partners or study on business-related majors in russian. in three units of this intensive course learners are going to find out how to discuss terms of cooperationand prices, describe market situation and make a successful presentation of their companies, goods or services. the course is the third part of business russian communication series of courses offered by st petersburg state university. this part introduces such grammar topics as numerals and nouns in the genitive case, genitive case with prepositions, verbs of motion with unpaired prefixes and declension of adjectives. learners can practice their skills and test themselves in grammar quiz section. the course provides extensive vocabulary with more than 100 new words and conversational phrases which learners can use in their everyday communication on professional or informal topics. each unit of the course contains dialogues, which are extremely useful for those who wants to listen to original russian speech and get used to the pace and intonations of russian language. scripts and exercises are provided for all dialogues of the course. in the end of the course learners will have a chance to use the material leant and assess their progress while preparing the final assignment. this course is aimed at those who already achieved a2-a2 level in russian.",PUBLIC-RELATIONS
