job_id,title,category,skills,responsibilities,keywords_raw,experience_level,years_required,source,skills_list,keywords_list,skills_clean,job_text,skills_raw,location,industry,Category
DES001,UI/UX Designer,DESIGNER,"Adobe XD, Figma, Sketch, Photoshop, Illustrator, CSS, HTML, Wireframing, Prototyping, User Research",Design user interfaces; Create wireframes and prototypes; Conduct user research; Collaborate with developers; Maintain design systems,ui ux design figma adobe sketch wireframe prototype user experience visual design,Mid,3,LinkedIn,"['Adobe XD', 'Figma', 'Sketch', 'Photoshop', 'Illustrator', 'CSS', 'HTML', 'Wireframing', 'Prototyping', 'User Research']","['ui', 'ux', 'design', 'figma', 'adobe', 'sketch', 'wireframe', 'prototype', 'user experience', 'visual design']",adobe xd figma sketch photoshop illustrator css html wireframing prototyping user research,DESIGNER UI/UX Designer adobe xd figma sketch photoshop illustrator css html wireframing prototyping user research mid 3 years,"Adobe XD, Figma, Sketch, Photoshop, Illustrator, CSS, HTML, Wireframing, Prototyping, User Research",,,
DES002,Graphic Designer,DESIGNER,"Adobe Creative Suite, Typography, Branding, Print Design, Logo Design, Illustration, InDesign, Corel Draw",Create visual content; Develop brand identities; Design print and digital materials; Present design concepts to clients,graphic design branding typography logo print digital creative suite illustrator,Junior,1,Indeed,"['Adobe Creative Suite', 'Typography', 'Branding', 'Print Design', 'Logo Design', 'Illustration', 'InDesign', 'Corel Draw']","['graphic design', 'branding', 'typography', 'logo', 'print', 'digital', 'creative suite', 'illustrator']",adobe creative suite typography branding print design logo design illustration indesign corel draw,DESIGNER Graphic Designer adobe creative suite typography branding print design logo design illustration indesign corel draw junior 1 year,"Adobe Creative Suite, Typography, Branding, Print Design, Logo Design, Illustration, InDesign, Corel Draw",,,
IT001,Software Engineer,INFORMATION-TECHNOLOGY,"Python, Java, SQL, REST APIs, Git, Docker, Kubernetes, Agile, AWS, Linux",Develop software applications; Write clean code; Review code; Debug and troubleshoot; Collaborate with cross-functional teams,software engineer python java sql rest api git docker kubernetes agile aws linux backend,Mid,3,LinkedIn,"['Python', 'Java', 'SQL', 'REST APIs', 'Git', 'Docker', 'Kubernetes', 'Agile', 'AWS', 'Linux']","['software engineer', 'python', 'java', 'sql', 'rest api', 'git', 'docker', 'kubernetes', 'agile', 'aws']",python java sql rest apis git docker kubernetes agile aws linux,INFORMATION-TECHNOLOGY Software Engineer python java sql rest apis git docker kubernetes agile aws linux mid 3 years,"Python, Java, SQL, REST APIs, Git, Docker, Kubernetes, Agile, AWS, Linux",,,
IT002,Data Analyst,INFORMATION-TECHNOLOGY,"Python, R, SQL, Tableau, Power BI, Excel, Statistics, Machine Learning, Data Visualization, Pandas",Analyze large datasets; Create dashboards; Generate reports; Identify trends; Support business decisions with data insights,data analyst python r sql tableau power bi excel statistics machine learning visualization pandas,Junior,2,Naukri,"['Python', 'R', 'SQL', 'Tableau', 'Power BI', 'Excel', 'Statistics', 'Machine Learning', 'Data Visualization', 'Pandas']","['data analyst', 'python', 'r', 'sql', 'tableau', 'power bi', 'excel', 'statistics', 'machine learning', 'pandas']",python r sql tableau power bi excel statistics machine learning data visualization pandas,INFORMATION-TECHNOLOGY Data Analyst python r sql tableau power bi excel statistics machine learning data visualization pandas junior 2 years,"Python, R, SQL, Tableau, Power BI, Excel, Statistics, Machine Learning, Data Visualization, Pandas",,,
TEA001,High School Mathematics Teacher,TEACHER,"Curriculum Development, Classroom Management, Assessment, Differentiated Instruction, Math Proficiency, Communication, LMS, Student Counseling",Teach mathematics; Develop lesson plans; Assess student performance; Communicate with parents; Maintain classroom discipline,teacher mathematics curriculum classroom assessment instruction communication lms counseling education,Mid,3,Indeed,"['Curriculum Development', 'Classroom Management', 'Assessment', 'Differentiated Instruction', 'Math Proficiency', 'Communication', 'LMS', 'Student Counseling']","['teacher', 'mathematics', 'curriculum', 'classroom', 'assessment', 'instruction', 'communication', 'lms', 'counseling', 'education']",curriculum development classroom management assessment differentiated instruction math proficiency communication lms student counseling,TEACHER High School Mathematics Teacher curriculum development classroom management assessment differentiated instruction math proficiency mid 3 years,"Curriculum Development, Classroom Management, Assessment, Differentiated Instruction, Math Proficiency, Communication, LMS, Student Counseling",,,
TEA002,Primary School Teacher,TEACHER,"Child Development, Lesson Planning, Creative Teaching, Communication, Patience, MS Office, Activity Design, Phonics",Teach foundational subjects; Design age-appropriate activities; Monitor child development; Engage parents; Maintain records,primary teacher child development lesson planning creative communication patience ms office activity phonics,Junior,1,LinkedIn,"['Child Development', 'Lesson Planning', 'Creative Teaching', 'Communication', 'Patience', 'MS Office', 'Activity Design', 'Phonics']","['primary teacher', 'child development', 'lesson planning', 'creative', 'communication', 'patience', 'ms office', 'activity', 'phonics']",child development lesson planning creative teaching communication patience ms office activity design phonics,TEACHER Primary School Teacher child development lesson planning creative teaching communication patience ms office activity design phonics junior 1 year,"Child Development, Lesson Planning, Creative Teaching, Communication, Patience, MS Office, Activity Design, Phonics",,,
ADV001,Corporate Lawyer,ADVOCATE,"Legal Research, Contract Drafting, Litigation, Negotiation, Corporate Law, Compliance, Communication, MS Office, LexisNexis",Draft legal documents; Represent clients in court; Provide legal advice; Negotiate contracts; Ensure regulatory compliance,lawyer legal research contract drafting litigation negotiation corporate law compliance communication lexisnexis,Senior,7,LinkedIn,"['Legal Research', 'Contract Drafting', 'Litigation', 'Negotiation', 'Corporate Law', 'Compliance', 'Communication', 'MS Office', 'LexisNexis']","['lawyer', 'legal research', 'contract drafting', 'litigation', 'negotiation', 'corporate law', 'compliance', 'communication', 'lexisnexis']",legal research contract drafting litigation negotiation corporate law compliance communication ms office lexisnexis,ADVOCATE Corporate Lawyer legal research contract drafting litigation negotiation corporate law compliance communication ms office lexisnexis senior 7 years,"Legal Research, Contract Drafting, Litigation, Negotiation, Corporate Law, Compliance, Communication, MS Office, LexisNexis",,,
ADV002,Civil Rights Advocate,ADVOCATE,"Legal Research, Public Speaking, Policy Analysis, Advocacy, Community Outreach, Report Writing, NGO Management, Negotiation",Advocate for civil rights; Conduct legal research; Engage with communities; Draft policy briefs; Represent marginalized groups,civil rights legal research public speaking policy advocacy community outreach report writing ngo negotiation,Mid,4,NGO Portal,"['Legal Research', 'Public Speaking', 'Policy Analysis', 'Advocacy', 'Community Outreach', 'Report Writing', 'NGO Management', 'Negotiation']","['civil rights', 'legal research', 'public speaking', 'policy', 'advocacy', 'community outreach', 'report writing', 'ngo', 'negotiation']",legal research public speaking policy analysis advocacy community outreach report writing ngo management negotiation,ADVOCATE Civil Rights Advocate legal research public speaking policy analysis advocacy community outreach report writing ngo management negotiation mid 4 years,"Legal Research, Public Speaking, Policy Analysis, Advocacy, Community Outreach, Report Writing, NGO Management, Negotiation",,,
BD001,Business Development Manager,BUSINESS-DEVELOPMENT,"Sales Strategy, CRM, Negotiation, Market Research, Lead Generation, Presentation, Networking, Excel, Salesforce",Identify new business opportunities; Build client relationships; Develop growth strategies; Negotiate partnerships; Achieve revenue targets,business development sales strategy crm negotiation market research lead generation presentation networking excel salesforce,Senior,6,LinkedIn,"['Sales Strategy', 'CRM', 'Negotiation', 'Market Research', 'Lead Generation', 'Presentation', 'Networking', 'Excel', 'Salesforce']","['business development', 'sales strategy', 'crm', 'negotiation', 'market research', 'lead generation', 'presentation', 'networking', 'salesforce']",sales strategy crm negotiation market research lead generation presentation networking excel salesforce,BUSINESS-DEVELOPMENT Business Development Manager sales strategy crm negotiation market research lead generation presentation networking excel salesforce senior 6 years,"Sales Strategy, CRM, Negotiation, Market Research, Lead Generation, Presentation, Networking, Excel, Salesforce",,,
BD002,Business Analyst,BUSINESS-DEVELOPMENT,"Requirements Gathering, Process Mapping, SQL, Excel, JIRA, Stakeholder Management, Data Analysis, Agile, Tableau",Analyze business processes; Gather requirements; Document workflows; Support project management; Create business reports,business analyst requirements gathering process mapping sql excel jira stakeholder management data analysis agile tableau,Mid,3,Indeed,"['Requirements Gathering', 'Process Mapping', 'SQL', 'Excel', 'JIRA', 'Stakeholder Management', 'Data Analysis', 'Agile', 'Tableau']","['business analyst', 'requirements gathering', 'process mapping', 'sql', 'excel', 'jira', 'stakeholder management', 'data analysis', 'agile', 'tableau']",requirements gathering process mapping sql excel jira stakeholder management data analysis agile tableau,BUSINESS-DEVELOPMENT Business Analyst requirements gathering process mapping sql excel jira stakeholder management data analysis agile tableau mid 3 years,"Requirements Gathering, Process Mapping, SQL, Excel, JIRA, Stakeholder Management, Data Analysis, Agile, Tableau",,,
HC001,Registered Nurse,HEALTHCARE,"Patient Care, Clinical Assessment, Medication Administration, EMR, IV Therapy, Communication, BLS, ACLS, Wound Care",Provide patient care; Monitor vitals; Administer medications; Coordinate with physicians; Educate patients and families,nurse patient care clinical assessment medication emr iv therapy communication bls acls wound care,Mid,3,Hospital Jobs,"['Patient Care', 'Clinical Assessment', 'Medication Administration', 'EMR', 'IV Therapy', 'Communication', 'BLS', 'ACLS', 'Wound Care']","['nurse', 'patient care', 'clinical assessment', 'medication', 'emr', 'iv therapy', 'communication', 'bls', 'acls', 'wound care']",patient care clinical assessment medication administration emr iv therapy communication bls acls wound care,HEALTHCARE Registered Nurse patient care clinical assessment medication administration emr iv therapy communication bls acls wound care mid 3 years,"Patient Care, Clinical Assessment, Medication Administration, EMR, IV Therapy, Communication, BLS, ACLS, Wound Care",,,
HC002,Medical Doctor,HEALTHCARE,"Diagnosis, Treatment Planning, Surgery, Patient Management, EMR, Medical Research, Communication, Clinical Decision Making",Diagnose and treat patients; Perform medical procedures; Prescribe medications; Supervise medical staff; Maintain patient records,doctor diagnosis treatment surgery patient management emr medical research communication clinical decision making,Senior,8,MedJobsIndia,"['Diagnosis', 'Treatment Planning', 'Surgery', 'Patient Management', 'EMR', 'Medical Research', 'Communication', 'Clinical Decision Making']","['doctor', 'diagnosis', 'treatment', 'surgery', 'patient management', 'emr', 'medical research', 'communication', 'clinical decision making']",diagnosis treatment planning surgery patient management emr medical research communication clinical decision making,HEALTHCARE Medical Doctor diagnosis treatment planning surgery patient management emr medical research communication clinical decision making senior 8 years,"Diagnosis, Treatment Planning, Surgery, Patient Management, EMR, Medical Research, Communication, Clinical Decision Making",,,
FIT001,Personal Trainer,FITNESS,"Exercise Programming, Nutrition Guidance, Client Motivation, CPR/AED, Fitness Assessment, Weight Training, HIIT, Yoga, Communication",Design workout plans; Train clients; Monitor progress; Provide nutritional advice; Maintain client records,personal trainer exercise programming nutrition client motivation cpr fitness assessment weight training hiit yoga,Junior,1,Indeed,"['Exercise Programming', 'Nutrition Guidance', 'Client Motivation', 'CPR/AED', 'Fitness Assessment', 'Weight Training', 'HIIT', 'Yoga', 'Communication']","['personal trainer', 'exercise programming', 'nutrition', 'client motivation', 'cpr', 'fitness assessment', 'weight training', 'hiit', 'yoga']",exercise programming nutrition guidance client motivation cpr aed fitness assessment weight training hiit yoga communication,FITNESS Personal Trainer exercise programming nutrition guidance client motivation cpr aed fitness assessment weight training hiit yoga communication junior 1 year,"Exercise Programming, Nutrition Guidance, Client Motivation, CPR/AED, Fitness Assessment, Weight Training, HIIT, Yoga, Communication",,,
